C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_18_817.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_18_817.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_18_817.jpg,0,0,0,3.469252
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_18_929.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_18_929.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_18_929.jpg,0,0,0,3.427514
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_034.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_034.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_034.jpg,0,0,0,3.393116
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_135.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_135.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_135.jpg,0,0,0,3.359064
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_240.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_240.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_240.jpg,0,0,0,3.325353
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_345.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_345.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_345.jpg,0,0,0,3.285346
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_452.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_452.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_452.jpg,0,0,0,3.252375
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_555.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_555.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_555.jpg,0,0,0,3.219736
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_663.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_663.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_663.jpg,0,0,0,3.187423
C:\Users\KIIT\Desktop\self\IMG\center_2020_01_03_15_23_19_768.jpg,C:\Users\KIIT\Desktop\self\IMG\left_2020_01_03_15_23_19_768.jpg,C:\Users\KIIT\Desktop\self\IMG\right_2020_01_03_15_23_19_768.jpg,0,0,0,3.149076
